getlaura,1163819360298967040,2019-08-20 14:25:32,b'What the hellll... why is this escalator out like every third day with no sign (Escalator outage reported at W 4 St\xe2\x80\xa6 https://t.co/sPnhcv0vrM'
getlaura,1156330655481028609,2019-07-30 22:28:06,"b'Having to choose between #BachelorNation finale and #DemDebate is so unfair. Strategy: record both, fast forward th\xe2\x80\xa6 https://t.co/zquugexhvn'"
getlaura,1154213460093390849,2019-07-25 02:15:07,b'There\xe2\x80\x99s a giant vomit pile at the end of car 5529 on the R train. (Bad conditions reported at Bay Ridge - 95 St Sta\xe2\x80\xa6 https://t.co/w6obUojaqT'
getlaura,1154132091476611074,2019-07-24 20:51:48,b'theres a leak? in car 2423 theres a dripping leak from the ceiling  (Bad conditions reported at 103 St Station) #1Train #MTA #PigeonTransit'
getlaura,1151692589852168192,2019-07-18 03:18:05,"b'RT @andrewchen: American kids want to be youtubers, and the Chinese kids want to be astronauts. https://t.co/HY2MBDG8wD'"
getlaura,1151477168645574657,2019-07-17 13:02:05,b'LEAK FROM THE CEILING IN CAR #7069. Everyone is getting wet. Please tell me it\xe2\x80\x99s just water \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd  (Bad conditions rep\xe2\x80\xa6 https://t.co/Ke8CqMyRnk'
getlaura,1150771111359070210,2019-07-15 14:16:27,"b""RT @itsjamarifox: don't be fooled by the blackout we got #blackout #pigeontransit #nycblackout https://t.co/i7XkDAnMSK via @itsjamarifox"""
getlaura,1138229131303370753,2019-06-10 23:39:06,b'Trash all over the floor in car #5919 #smh \xf0\x9f\x99\x84 (Bad conditions reported at 14 St Station) #ATrain #MTA #PigeonTransit https://t.co/VFEnU4mkWA'
getlaura,1134475169458786306,2019-05-31 15:02:12,b'Was honored to give the keynote at this NYU event honoring Aspiring Female STEM Leaders at the #NCWIT Awards\xe2\x80\xa6 https://t.co/ln8KSYYQX7'
getlaura,1128276213972312065,2019-05-14 12:29:46,b'Life\xe2\x80\x99s too short to cram on a train.  (Train overfilled reported at Nostrand Av Station) #ATrain #PigeonTransit   \xf0\x9f\xa4\xa3\xe2\x80\xa6 https://t.co/JRB9il7qBP'
getlaura,1126833498034188288,2019-05-10 12:56:56,b'Train delayed due to car brake failure  in manhattan.  (Delay (over 8m) reported at Bedford Av Station) #LTrain\xe2\x80\xa6 https://t.co/HcYCXRpdqT'
getlaura,1126484722404741120,2019-05-09 13:51:01,b'@lindsayebarnett @NatGrywd @Catalinar34 @NikiKirschner @christinaohkay @PatrickMThomas Um love that jacket!'
getlaura,1125756791298711553,2019-05-07 13:38:29,"b""There's a heavy cloud of smoke coming down the B/Q tunnel.  (Bad conditions reported at Atlantic Av - Barclays Ctr\xe2\x80\xa6 https://t.co/6Gx7sEn3xO"""
getlaura,1123755788219105281,2019-05-02 01:07:12,b'SOS \xe2\x81\xa6@CitiBikeNYC\xe2\x81\xa9 .... Lol. We\xe2\x80\x99ve got a couple Citi bikes in need of a pick up.  (Really!?! reported at Bergen St\xe2\x80\xa6 https://t.co/jPeG4LZtN3'
getlaura,1123198572235821056,2019-04-30 12:13:02,"b""RT @_DanielSinclair: Here's a video of a Chimpanzee using Instagram. It's eye-opening. https://t.co/FEfIgQSGa6 https://t.co/d9AjhfPNN1"""
getlaura,1108824031426416651,2019-03-21 20:13:44,b'@A_W_Gordon \xf0\x9f\x98\x82'
getlaura,1107324855727345664,2019-03-17 16:56:33,b'Just filed my taxes myself for the first time. Used @turbotax. Super impressed by the user experience. They make a\xe2\x80\xa6 https://t.co/sH7uzFvCmn'
getlaura,1104113452770045952,2019-03-08 20:15:35,b'Happy International Women\xe2\x80\x99s Day! Have a Sticker https://t.co/18bpkyv6yG'
getlaura,1100565611590094848,2019-02-27 01:17:43,b'@kenny912 \xf0\x9f\x98\x82\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\x9e'
getlaura,1098650373450096640,2019-02-21 18:27:15,b'RT @ChuckHTF: Yes! Rare available seat on the E train today. #pigeontransit @PigeonTransit https://t.co/apBQUETRMo'
getlaura,1098614589669945344,2019-02-21 16:05:04,b'RT @jack: This is excellent \xe2\x81\xa6@tippin_me\xe2\x81\xa9 \xe2\x9a\xa1\xef\xb8\x8f https://t.co/FifrgwBOTp'
getlaura,1090383466347278336,2019-01-29 22:57:31,b'One of the funniest things I\xe2\x80\x99ve seen in a long time \xf0\x9f\xa4\xa3 https://t.co/XA9sZMpxch'
getlaura,1071162229645602822,2018-12-07 21:59:11,"b'RT @chayesmatthew: ""If the MTA doubly screws up, they\xe2\x80\x99ll even give you two.""\n\nhttps://t.co/UR847VbYDk'"
getlaura,1069787337234792454,2018-12-04 02:55:51,b'&lt;3 Zero to 1.5 Million coders: nine lessons learned while building Grasshopper by Laura Holmes https://t.co/oCTpb5bSnn'
getlaura,1069787146058383360,2018-12-04 02:55:05,b'An exclusive look inside Google\xe2\x80\x99s in-house incubator Area 120 https://t.co/D1Xc1wraJy'
getlaura,1064679003854970881,2018-11-20 00:37:09,b'#iHeartGarthBrooks at @iHeartRadio !! https://t.co/2LuAmNUibD'
getlaura,1033736678840705024,2018-08-26 15:23:24,"b""RT @paulg: If your startup is growing well, but there are some things you can't do because you don't have enough people, that's actually op\xe2\x80\xa6"""
getlaura,1030158191387193348,2018-08-16 18:23:46,b'Area 120 goes to the Yankees! #attnyy https://t.co/aZ9h4VwdxS'
getlaura,1028764797817499650,2018-08-12 22:06:55,"b""@jasontoff Recently started taking @ritual and I'm pretty excited about it (although probably not helpful for you :) )"""
getlaura,1022269874343735296,2018-07-25 23:58:25,b'@SRobTweets You did awesome! Also \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c for AutoML'
getlaura,1022268382295539712,2018-07-25 23:52:29,b'Why aren\xe2\x80\x99t umbrella hats a thing? Of course I\xe2\x80\x99d rather have my hands free.'
